,shot_description,shot_count,shot_makes,year,shot_group
12,3PT Step Back Jump Shot,10,4,2009,THREE_POINT_JUMPERS
13,3PT Turnaround Jump Shot,16,8,2009,THREE_POINT_JUMPERS
14,Alley Oop Dunk,122,110,2009,DUNKS
15,Alley Oop Layup,74,50,2009,LAYUPS
16,Driving Dunk,224,212,2009,DUNKS
17,Driving Hook Shot,16,12,2009,POST_MOVES
18,Driving Layup,1904,1238,2009,LAYUPS
19,Finger Roll,176,134,2009,LAYUPS
20,Hook Shot,618,316,2009,POST_MOVES
21,Putback Dunk,112,104,2009,DUNKS
22,Putback Layup,164,142,2009,LAYUPS
23,Reverse Dunk,14,12,2009,DUNKS
24,Reverse Layup,220,132,2009,LAYUPS
25,Running Hook Shot,98,64,2009,POST_MOVES
26,Standard Dunk,872,796,2009,DUNKS
27,Standard Layup,3588,1530,2009,LAYUPS
28,Tip Shot,420,190,2009,TIP_SHOTS
29,Turnaround Hook Shot,64,40,2009,POST_MOVES
0,2PT Driving Jump Shot,138,56,2010,TWO_POINT_JUMPERS
1,2PT Fadeaway Jump Shot,548,276,2010,TWO_POINT_JUMPERS
2,2PT Floating Jump Shot,250,162,2010,FLOATING_SHOTS
3,2PT Jump Shot,8110,2922,2010,TWO_POINT_JUMPERS
4,2PT Pullup Jump Shot,184,156,2010,TWO_POINT_JUMPERS
5,2PT Running Jump Shot,512,300,2010,TWO_POINT_JUMPERS
6,2PT Step Back Jump Shot,144,76,2010,TWO_POINT_JUMPERS
7,2PT Turnaround Jump Shot,740,372,2010,TWO_POINT_JUMPERS
8,3PT Fadeaway Jump Shot,4,0,2010,THREE_POINT_JUMPERS
9,3PT Jump Shot,6124,2124,2010,THREE_POINT_JUMPERS
10,3PT Pullup Jump Shot,40,34,2010,THREE_POINT_JUMPERS
11,3PT Running Jump Shot,20,2,2010,THREE_POINT_JUMPERS
12,3PT Step Back Jump Shot,34,16,2010,THREE_POINT_JUMPERS
13,3PT Turnaround Jump Shot,2,0,2010,THREE_POINT_JUMPERS
14,Alley Oop Dunk,108,102,2010,DUNKS
15,Alley Oop Layup,58,46,2010,LAYUPS
16,Driving Dunk,160,150,2010,DUNKS
17,Driving Hook Shot,24,14,2010,POST_MOVES
18,Driving Layup,1760,1184,2010,LAYUPS
19,Finger Roll,154,106,2010,LAYUPS
20,Hook Shot,526,262,2010,POST_MOVES
21,Putback Dunk,80,72,2010,DUNKS
22,Putback Layup,214,176,2010,LAYUPS
23,Reverse Dunk,22,22,2010,DUNKS
24,Reverse Layup,292,176,2010,LAYUPS
25,Running Hook Shot,70,36,2010,POST_MOVES
26,Standard Dunk,758,686,2010,DUNKS
27,Standard Layup,3862,1792,2010,LAYUPS
28,Tip Shot,498,196,2010,TIP_SHOTS
29,Turnaround Hook Shot,66,36,2010,POST_MOVES
0,2PT Driving Jump Shot,382,144,2011,TWO_POINT_JUMPERS
1,2PT Fadeaway Jump Shot,630,292,2011,TWO_POINT_JUMPERS
2,2PT Floating Jump Shot,436,254,2011,FLOATING_SHOTS
3,2PT Jump Shot,7796,2614,2011,TWO_POINT_JUMPERS
4,2PT Pullup Jump Shot,596,336,2011,TWO_POINT_JUMPERS
5,2PT Running Jump Shot,512,222,2011,TWO_POINT_JUMPERS
6,2PT Step Back Jump Shot,254,134,2011,TWO_POINT_JUMPERS
7,2PT Turnaround Jump Shot,756,390,2011,TWO_POINT_JUMPERS
8,3PT Fadeaway Jump Shot,4,2,2011,THREE_POINT_JUMPERS
9,3PT Jump Shot,5668,1936,2011,THREE_POINT_JUMPERS
10,3PT Pullup Jump Shot,62,26,2011,THREE_POINT_JUMPERS
11,3PT Running Jump Shot,42,2,2011,THREE_POINT_JUMPERS
12,3PT Step Back Jump Shot,26,12,2011,THREE_POINT_JUMPERS
13,3PT Turnaround Jump Shot,2,0,2011,THREE_POINT_JUMPERS
14,Alley Oop Dunk,116,112,2011,DUNKS
15,Alley Oop Layup,72,52,2011,LAYUPS
16,Driving Dunk,140,122,2011,DUNKS
17,Driving Hook Shot,34,18,2011,POST_MOVES
18,Driving Layup,1754,1032,2011,LAYUPS
19,Finger Roll,244,174,2011,LAYUPS
20,Hook Shot,498,234,2011,POST_MOVES
21,Putback Dunk,108,96,2011,DUNKS
22,Putback Layup,200,154,2011,LAYUPS
23,Reverse Dunk,18,18,2011,DUNKS
24,Reverse Layup,204,114,2011,LAYUPS
25,Running Hook Shot,94,56,2011,POST_MOVES
26,Standard Dunk,760,700,2011,DUNKS
27,Standard Layup,2962,1422,2011,LAYUPS
28,Tip Shot,552,266,2011,TIP_SHOTS
29,Turnaround Hook Shot,160,70,2011,POST_MOVES
0,2PT Driving Jump Shot,214,98,2012,TWO_POINT_JUMPERS
1,2PT Fadeaway Jump Shot,532,224,2012,TWO_POINT_JUMPERS
2,2PT Floating Jump Shot,520,320,2012,FLOATING_SHOTS
3,2PT Jump Shot,8634,2772,2012,TWO_POINT_JUMPERS
4,2PT Pullup Jump Shot,550,364,2012,TWO_POINT_JUMPERS
5,2PT Running Jump Shot,552,308,2012,TWO_POINT_JUMPERS
6,2PT Step Back Jump Shot,278,150,2012,TWO_POINT_JUMPERS
7,2PT Turnaround Jump Shot,950,432,2012,TWO_POINT_JUMPERS
8,3PT Fadeaway Jump Shot,20,4,2012,THREE_POINT_JUMPERS
9,3PT Jump Shot,5828,1926,2012,THREE_POINT_JUMPERS
10,3PT Pullup Jump Shot,50,30,2012,THREE_POINT_JUMPERS
11,3PT Running Jump Shot,16,0,2012,THREE_POINT_JUMPERS
12,3PT Step Back Jump Shot,48,28,2012,THREE_POINT_JUMPERS
13,3PT Turnaround Jump Shot,4,0,2012,THREE_POINT_JUMPERS
14,Alley Oop Dunk,158,146,2012,DUNKS
15,Alley Oop Layup,80,38,2012,LAYUPS
16,Driving Dunk,226,200,2012,DUNKS
17,Driving Hook Shot,18,6,2012,POST_MOVES
18,Driving Layup,1598,962,2012,LAYUPS
19,Finger Roll,330,272,2012,LAYUPS
20,Hook Shot,390,190,2012,POST_MOVES
21,Putback Dunk,106,100,2012,DUNKS
22,Putback Layup,148,120,2012,LAYUPS
23,Reverse Dunk,26,20,2012,DUNKS
24,Reverse Layup,300,186,2012,LAYUPS
25,Running Hook Shot,88,56,2012,POST_MOVES
26,Standard Dunk,842,744,2012,DUNKS
27,Standard Layup,3460,1666,2012,LAYUPS
28,Tip Shot,442,206,2012,TIP_SHOTS
29,Turnaround Hook Shot,72,34,2012,POST_MOVES
0,2PT Driving Jump Shot,276,118,2013,TWO_POINT_JUMPERS
1,2PT Fadeaway Jump Shot,422,192,2013,TWO_POINT_JUMPERS
2,2PT Floating Jump Shot,460,246,2013,FLOATING_SHOTS
3,2PT Jump Shot,7878,2568,2013,TWO_POINT_JUMPERS
4,2PT Pullup Jump Shot,694,442,2013,TWO_POINT_JUMPERS
5,2PT Running Jump Shot,624,278,2013,TWO_POINT_JUMPERS
6,2PT Step Back Jump Shot,332,168,2013,TWO_POINT_JUMPERS
7,2PT Turnaround Jump Shot,804,354,2013,TWO_POINT_JUMPERS
8,3PT Fadeaway Jump Shot,10,4,2013,THREE_POINT_JUMPERS
9,3PT Jump Shot,6516,2206,2013,THREE_POINT_JUMPERS
10,3PT Pullup Jump Shot,326,164,2013,THREE_POINT_JUMPERS
11,3PT Running Jump Shot,26,4,2013,THREE_POINT_JUMPERS
12,3PT Step Back Jump Shot,118,32,2013,THREE_POINT_JUMPERS
13,3PT Turnaround Jump Shot,2,0,2013,THREE_POINT_JUMPERS
14,Alley Oop Dunk,122,110,2013,DUNKS
15,Alley Oop Layup,48,34,2013,LAYUPS
16,Driving Dunk,228,218,2013,DUNKS
17,Driving Hook Shot,40,20,2013,POST_MOVES
18,Driving Layup,1802,1052,2013,LAYUPS
19,Finger Roll,360,266,2013,LAYUPS
20,Hook Shot,478,240,2013,POST_MOVES
21,Putback Dunk,90,84,2013,DUNKS
22,Putback Layup,142,96,2013,LAYUPS
23,Reverse Dunk,24,24,2013,DUNKS
24,Reverse Layup,294,214,2013,LAYUPS
25,Running Hook Shot,98,60,2013,POST_MOVES
26,Standard Dunk,722,654,2013,DUNKS
27,Standard Layup,3364,1724,2013,LAYUPS
28,Tip Shot,566,272,2013,TIP_SHOTS
29,Turnaround Hook Shot,120,62,2013,POST_MOVES
0,2PT Driving Jump Shot,422,176,2014,TWO_POINT_JUMPERS
1,2PT Fadeaway Jump Shot,418,206,2014,TWO_POINT_JUMPERS
2,2PT Floating Jump Shot,444,248,2014,FLOATING_SHOTS
3,2PT Jump Shot,7546,2386,2014,TWO_POINT_JUMPERS
4,2PT Pullup Jump Shot,974,610,2014,TWO_POINT_JUMPERS
5,2PT Running Jump Shot,696,314,2014,TWO_POINT_JUMPERS
6,2PT Step Back Jump Shot,428,232,2014,TWO_POINT_JUMPERS
7,2PT Turnaround Jump Shot,736,348,2014,TWO_POINT_JUMPERS
8,3PT Fadeaway Jump Shot,8,4,2014,THREE_POINT_JUMPERS
9,3PT Floating Jump Shot,4,0,2014,FLOATING_SHOTS
10,3PT Jump Shot,7336,2568,2014,THREE_POINT_JUMPERS
11,3PT Pullup Jump Shot,414,210,2014,THREE_POINT_JUMPERS
12,3PT Running Jump Shot,58,6,2014,THREE_POINT_JUMPERS
13,3PT Step Back Jump Shot,118,60,2014,THREE_POINT_JUMPERS
14,3PT Turnaround Jump Shot,10,2,2014,THREE_POINT_JUMPERS
15,Alley Oop Dunk,130,122,2014,DUNKS
16,Alley Oop Layup,66,52,2014,LAYUPS
17,Driving Dunk,212,202,2014,DUNKS
18,Driving Hook Shot,80,54,2014,POST_MOVES
19,Driving Layup,1962,1358,2014,LAYUPS
20,Finger Roll,356,280,2014,LAYUPS
21,Hook Shot,436,240,2014,POST_MOVES
22,Putback Dunk,74,68,2014,DUNKS
23,Putback Layup,172,146,2014,LAYUPS
24,Reverse Dunk,14,14,2014,DUNKS
25,Reverse Layup,312,220,2014,LAYUPS
26,Running Hook Shot,90,46,2014,POST_MOVES
27,Standard Dunk,698,640,2014,DUNKS
28,Standard Layup,3596,1786,2014,LAYUPS
29,Tip Shot,504,248,2014,TIP_SHOTS
30,Turnaround Hook Shot,158,96,2014,POST_MOVES
0,2PT Driving Jump Shot,364,176,2015,TWO_POINT_JUMPERS
1,2PT Fadeaway Jump Shot,416,204,2015,TWO_POINT_JUMPERS
2,2PT Floating Jump Shot,550,278,2015,FLOATING_SHOTS
3,2PT Jump Shot,6146,1678,2015,TWO_POINT_JUMPERS
4,2PT Pullup Jump Shot,992,550,2015,TWO_POINT_JUMPERS
5,2PT Running Jump Shot,614,308,2015,TWO_POINT_JUMPERS
6,2PT Step Back Jump Shot,434,202,2015,TWO_POINT_JUMPERS
7,2PT Turnaround Jump Shot,704,294,2015,TWO_POINT_JUMPERS
8,3PT Fadeaway Jump Shot,28,16,2015,THREE_POINT_JUMPERS
9,3PT Jump Shot,7106,2296,2015,THREE_POINT_JUMPERS
10,3PT Pullup Jump Shot,842,392,2015,THREE_POINT_JUMPERS
11,3PT Running Jump Shot,26,0,2015,THREE_POINT_JUMPERS
12,3PT Step Back Jump Shot,236,126,2015,THREE_POINT_JUMPERS
13,3PT Turnaround Jump Shot,28,12,2015,THREE_POINT_JUMPERS
14,Alley Oop Dunk,266,238,2015,DUNKS
15,Alley Oop Layup,90,54,2015,LAYUPS
16,Driving Dunk,266,248,2015,DUNKS
17,Driving Hook Shot,48,24,2015,POST_MOVES
18,Driving Layup,1840,1290,2015,LAYUPS
19,Finger Roll,310,248,2015,LAYUPS
20,Hook Shot,564,276,2015,POST_MOVES
21,Putback Dunk,154,138,2015,DUNKS
22,Putback Layup,214,154,2015,LAYUPS
23,Reverse Dunk,14,10,2015,DUNKS
24,Reverse Layup,338,192,2015,LAYUPS
25,Running Hook Shot,114,60,2015,POST_MOVES
26,Standard Dunk,628,568,2015,DUNKS
27,Standard Layup,3292,1536,2015,LAYUPS
28,Tip Shot,556,240,2015,TIP_SHOTS
29,Turnaround Hook Shot,198,114,2015,POST_MOVES
0,2PT Driving Jump Shot,152,100,2016,TWO_POINT_JUMPERS
1,2PT Fadeaway Jump Shot,604,268,2016,TWO_POINT_JUMPERS
2,2PT Floating Jump Shot,1340,542,2016,FLOATING_SHOTS
3,2PT Jump Shot,4292,1256,2016,TWO_POINT_JUMPERS
4,2PT Pullup Jump Shot,2244,1082,2016,TWO_POINT_JUMPERS
