PLAYER_NAME,PLAYER_ID,SIMILAR_1_NAME,SIMILAR_1_ID,SIMILAR_1_DISTANCE,SIMILAR_2_NAME,SIMILAR_2_ID,SIMILAR_2_DISTANCE,SIMILAR_3_NAME,SIMILAR_3_ID,SIMILAR_3_DISTANCE,SIMILAR_4_NAME,SIMILAR_4_ID,SIMILAR_4_DISTANCE,SIMILAR_5_NAME,SIMILAR_5_ID,SIMILAR_5_DISTANCE
Vasilije Micić,203995,Dennis Schröder,203471,11.876363586819489,Cole Anthony,1630175,12.470413044184829,Keyonte George,1641718,13.624507313940246,Anfernee Simons,1629014,13.767911034834768,Anthony Black,1641710,13.797098648047971
Victor Wembanyama,1641705,Naz Reid,1629675,14.668692034303369,Jaren Jackson Jr.,1628991,14.864394346235052,John Collins,1628381,14.893320135283968,Pascal Siakam,1627783,15.930822630153417,Moritz Wagner,1629021,16.38731448520114
Vít Krejčí,1630249,Nickeil Alexander-Walker,1629638,9.804369681047335,Miles McBride,1630540,10.231301174678759,Nikola Jović,1631107,10.282649378576666,Ayo Dosunmu,1630245,10.779824337145213,Taurean Prince,1627752,11.19433638334314
Walker Kessler,1631117,Rudy Gobert,203497,14.112477395978845,Donovan Clingan,1642270,14.47727519688438,Yves Missi,1642274,15.179805021514698,Robert Williams III,1629057,15.290521870592123,Neemias Queta,1629674,15.377967937675876
Wendell Carter Jr.,1628976,Nic Claxton,1629651,11.258601483098175,Daniel Theis,1628464,11.471690900756913,Myles Turner,1626167,11.80038046929326,Isaiah Stewart,1630191,12.54817644547425,Kyle Filipowski,1642271,12.893513930392464
Yves Missi,1642274,Rudy Gobert,203497,12.235538108632385,Nick Richards,1630208,12.89321178818291,Moussa Diabate,1631217,12.919560691114361,Oso Ighodaro,1642345,13.315765574715735,Donovan Clingan,1642270,13.546031984367673
Zaccharie Risacher,1642258,Ja'Kobe Walter,1642266,8.828547355294804,Matas Buzelis,1641824,9.353651520927874,Kyshawn George,1642273,10.233361379361119,Ronald Holland II,1641842,10.767559744796436,Ryan Dunn,1642346,11.266201330131537
Zach Collins,1628380,Kelly Olynyk,203482,12.6584611364744,Daniel Theis,1628464,13.064995512771095,Wendell Carter Jr.,1628976,13.094566455190838,Isaiah Stewart,1630191,13.179857380498095,Myles Turner,1626167,13.461522104532708
Zach Edey,1641744,Onyeka Okongwu,1630168,14.512076967940935,Day'Ron Sharpe,1630549,15.135114835444005,Clint Capela,203991,15.5810047427736,Jusuf Nurkić,203994,17.696458548410405,Kevon Looney,1626172,17.847587208795975
Zach LaVine,203897,Kyrie Irving,202681,9.544466196096009,Jalen Green,1630224,9.930290524912644,De'Aaron Fox,1628368,10.321867622061001,Coby White,1629632,10.711726236373291,Jamal Murray,1627750,10.872187667276098
Ziaire Williams,1630533,Herbert Jones,1630529,11.110349293744084,Jarace Walker,1641716,11.147330363365427,Jaden McDaniels,1630183,11.197168317067243,Toumani Camara,1641739,11.413446632196838,Max Christie,1631108,11.552409499061607
Zion Williamson,1629627,,,,,,,,,,,,,,,
